customerID,Churn,Genero,Mayor a 65 Años,Casad@,Dependientes,Tiempo de cliente,Servicio de telefonia,Multiples lineas,Servicio de Internet,Seguridad en linea,Respaldo en linea,Proteccion del dispositivo,Soporte Premium,Suscripción por cable,Streaming Peliculas,Tipo de contrato,Facturacion en linea,Forma de pago,Cuenta mensual,Cuenta total,Cuenta diaria
0002-ORFBO,False,female,False,True,True,9,True,False,dsl,False,True,False,True,True,False,one year,True,mailed check,65.6,593.3,2.1866666666666665
0003-MKNFE,False,male,False,False,False,9,True,True,dsl,False,False,False,False,False,True,month-to-month,False,mailed check,59.9,542.4,1.9966666666666666
0004-TLHLJ,True,male,False,False,False,4,True,False,fiber optic,False,False,True,False,False,False,month-to-month,True,electronic check,73.9,280.85,2.4633333333333334
0011-IGKFF,True,male,True,True,False,13,True,False,fiber optic,False,True,True,False,True,True,month-to-month,True,electronic check,98.0,1237.85,3.2666666666666666
0013-EXCHZ,True,female,True,True,False,3,True,False,fiber optic,False,False,False,True,True,False,month-to-month,True,mailed check,83.9,267.4,2.796666666666667
0013-MHZWF,False,female,False,False,True,9,True,False,dsl,False,False,False,True,True,True,month-to-month,True,credit card (automatic),69.4,571.45,2.3133333333333335
0013-SMEOE,False,female,True,True,False,71,True,False,fiber optic,True,True,True,True,True,True,two year,True,bank transfer (automatic),109.7,7904.25,3.6566666666666667
0014-BMAQU,False,male,False,True,False,63,True,True,fiber optic,True,False,False,True,False,False,two year,True,credit card (automatic),84.65,5377.8,2.8216666666666668
0015-UOCOJ,False,female,True,False,False,7,True,False,dsl,True,False,False,False,False,False,month-to-month,True,electronic check,48.2,340.35,1.6066666666666667
0016-QLJIS,False,female,False,True,True,65,True,True,dsl,True,True,True,True,True,True,two year,True,mailed check,90.45,5957.9,3.015
0017-DINOC,False,male,False,False,False,54,False,False,dsl,True,False,False,True,True,False,two year,False,credit card (automatic),45.2,2460.55,1.5066666666666668
0017-IUDMW,False,female,False,True,True,72,True,True,fiber optic,True,True,True,True,True,True,two year,True,credit card (automatic),116.8,8456.75,3.893333333333333
0018-NYROU,False,female,False,True,False,5,True,False,fiber optic,False,False,False,False,False,False,month-to-month,True,electronic check,68.95,351.5,2.2983333333333333
0019-EFAEP,False,female,False,False,False,72,True,True,fiber optic,True,True,True,False,True,False,two year,True,bank transfer (automatic),101.3,7261.25,3.3766666666666665
0019-GFNTW,False,female,False,False,False,56,False,False,dsl,True,True,True,True,False,False,two year,False,bank transfer (automatic),45.05,2560.1,1.5016666666666665
0020-INWCK,False,female,False,True,True,71,True,True,fiber optic,False,True,True,False,False,True,two year,True,credit card (automatic),95.75,6849.4,3.191666666666667
0020-JDNXP,False,female,False,True,True,34,False,False,dsl,True,False,True,True,True,True,one year,False,mailed check,61.25,1993.2,2.0416666666666665
